charcode,name,character,comments
0xad," NOT EQUAL TO","≠",
0xae," LATIN CAPITAL LETTER AE","Æ",
0xaf," LATIN CAPITAL LETTER O WITH STROKE","Ø",
0xb0," INFINITY","∞",
0xb1," PLUS-MINUS SIGN","±",
0xb2," LESS-THAN OR EQUAL TO","≤",
0xb3," GREATER-THAN OR EQUAL TO","≥",
0xb4," YEN SIGN","¥",
0xb5," MICRO SIGN","µ",
0xb6," PARTIAL DIFFERENTIAL","∂",
0xb7," N-ARY SUMMATION","∑",
0xb8," N-ARY PRODUCT","∏",
0xb9," GREEK SMALL LETTER PI","π",
0xba," INTEGRAL","∫",
0xbb," FEMININE ORDINAL INDICATOR","ª",
0xbc," MASCULINE ORDINAL INDICATOR","º",
0xbd," GREEK CAPITAL LETTER OMEGA","Ω",
0xbe," LATIN SMALL LETTER AE","æ",
0xbf," LATIN SMALL LETTER O WITH STROKE","ø",
0xc0," INVERTED QUESTION MARK","¿",
0xc1," INVERTED EXCLAMATION MARK","¡",
0xc2," NOT SIGN","¬",
0xc3," SQUARE ROOT","√",
0xc4," LATIN SMALL LETTER F WITH HOOK","ƒ",
0xc5," ALMOST EQUAL TO","≈",
0xc6," INCREMENT","∆",
0xc7," LEFT-POINTING DOUBLE ANGLE QUOTATION MARK","«",
0xc8," RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK","»",
0xc9," HORIZONTAL ELLIPSIS","…",
0xca," NO-BREAK SPACE"," ",
0xcb," LATIN CAPITAL LETTER A WITH GRAVE","À",
0xcc," LATIN CAPITAL LETTER A WITH TILDE","Ã",
0xcd," LATIN CAPITAL LETTER O WITH TILDE","Õ",
0xce," LATIN CAPITAL LIGATURE OE","Œ",
0xcf," LATIN SMALL LIGATURE OE","œ",
0xd0," EN DASH","–",
0xd1," EM DASH","—",
0xd2," LEFT DOUBLE QUOTATION MARK","“",
0xd3," RIGHT DOUBLE QUOTATION MARK","”",
0xd4," LEFT SINGLE QUOTATION MARK","‘",
0xd5," RIGHT SINGLE QUOTATION MARK","’",
0xd6," DIVISION SIGN","÷",
0xd7," LOZENGE","◊",
0xd8," LATIN SMALL LETTER Y WITH DIAERESIS","ÿ",
0xd9," LATIN CAPITAL LETTER Y WITH DIAERESIS","Ÿ",
0xda," FRACTION SLASH","⁄",
0xdb," EURO SIGN","€",
0xdc," SINGLE LEFT-POINTING ANGLE QUOTATION MARK","‹",
0xdd," SINGLE RIGHT-POINTING ANGLE QUOTATION MARK","›",
0xde," LATIN SMALL LIGATURE FI","ﬁ",
0xdf," LATIN SMALL LIGATURE FL","ﬂ",
0xe0," DOUBLE DAGGER","‡",
0xe1," MIDDLE DOT","·",
0xe2," SINGLE LOW-9 QUOTATION MARK","‚",
0xe3," DOUBLE LOW-9 QUOTATION MARK","„",
0xe4," PER MILLE SIGN","‰",
0xe5," LATIN CAPITAL LETTER A WITH CIRCUMFLEX","Â",
0xe6," LATIN CAPITAL LETTER E WITH CIRCUMFLEX","Ê",
0xe7," LATIN CAPITAL LETTER A WITH ACUTE","Á",
0xe8," LATIN CAPITAL LETTER E WITH DIAERESIS","Ë",
0xe9," LATIN CAPITAL LETTER E WITH GRAVE","È",
0xea," LATIN CAPITAL LETTER I WITH ACUTE","Í",
0xeb," LATIN CAPITAL LETTER I WITH CIRCUMFLEX","Î",
0xec," LATIN CAPITAL LETTER I WITH DIAERESIS","Ï",
0xed," LATIN CAPITAL LETTER I WITH GRAVE","Ì",
0xee," LATIN CAPITAL LETTER O WITH ACUTE","Ó",
0xef," LATIN CAPITAL LETTER O WITH CIRCUMFLEX","Ô",
0xf0," Apple logo","",
0xf1," LATIN CAPITAL LETTER O WITH GRAVE","Ò",
0xf2," LATIN CAPITAL LETTER U WITH ACUTE","Ú",
0xf3," LATIN CAPITAL LETTER U WITH CIRCUMFLEX","Û",
0xf4," LATIN CAPITAL LETTER U WITH GRAVE","Ù",
0xf5," LATIN SMALL LETTER DOTLESS I","ı",
0xf6," MODIFIER LETTER CIRCUMFLEX ACCENT","ˆ",
0xf7," SMALL TILDE","˜",
0xf8," MACRON","¯",
0xf9," BREVE","˘",
0xfa," DOT ABOVE","˙",
0xfb," RING ABOVE","˚",
0xfc," CEDILLA","¸",
0xfd," DOUBLE ACUTE ACCENT","˝",
0xfe," OGONEK","˛",
0xff," CARON","ˇ",
