Float value,Sign,Exponent,Mantissa,Hexadecimal,Binary,Notes,#column-names
numeric,numeric,numeric,numeric:base=16,numeric:base=16,numeric:base=2,string,#column-format
right,right,right,right,right,right,left,#column-align
32-bit IEEE floating point numbers and their encodings as various binary encodings,#table-title
"Final float value, without sign, is mantissa * pow(2.0,exponent)",#table-note
Mantissa shown with implicit bit that is not stored in the final encoding,#table-note

3.851859888774472e-34,0,-111,0x800000,08000000,00001000000000000000000000000000,
4.81482486096809e-34,0,-111,0xa00000,08200000,00001000001000000000000000000000,
5.7777898331617076e-34,0,-111,0xc00000,08400000,00001000010000000000000000000000,
6.7407548053553255e-34,0,-111,0xe00000,08600000,00001000011000000000000000000000,
7.703719777548943e-34,0,-110,0x800000,08800000,00001000100000000000000000000000,
9.62964972193618e-34,0,-110,0xa00000,08a00000,00001000101000000000000000000000,
1.1555579666323415e-33,0,-110,0xc00000,08c00000,00001000110000000000000000000000,
1.3481509610710651e-33,0,-110,0xe00000,08e00000,00001000111000000000000000000000,
1.5407439555097887e-33,0,-109,0x800000,09000000,00001001000000000000000000000000,
1.925929944387236e-33,0,-109,0xa00000,09200000,00001001001000000000000000000000,
2.311115933264683e-33,0,-109,0xc00000,09400000,00001001010000000000000000000000,
2.6963019221421302e-33,0,-109,0xe00000,09600000,00001001011000000000000000000000,
3.0814879110195774e-33,0,-108,0x800000,09800000,00001001100000000000000000000000,
3.851859888774472e-33,0,-108,0xa00000,09a00000,00001001101000000000000000000000,
4.622231866529366e-33,0,-108,0xc00000,09c00000,00001001110000000000000000000000,
5.3926038442842604e-33,0,-108,0xe00000,09e00000,00001001111000000000000000000000,
6.162975822039155e-33,0,-107,0x800000,0a000000,00001010000000000000000000000000,
7.703719777548943e-33,0,-107,0xa00000,0a200000,00001010001000000000000000000000,
9.244463733058732e-33,0,-107,0xc00000,0a400000,00001010010000000000000000000000,
1.0785207688568521e-32,0,-107,0xe00000,0a600000,00001010011000000000000000000000,
1.232595164407831e-32,0,-106,0x800000,0a800000,00001010100000000000000000000000,
1.5407439555097887e-32,0,-106,0xa00000,0aa00000,00001010101000000000000000000000,
1.8488927466117464e-32,0,-106,0xc00000,0ac00000,00001010110000000000000000000000,
2.1570415377137042e-32,0,-106,0xe00000,0ae00000,00001010111000000000000000000000,
2.465190328815662e-32,0,-105,0x800000,0b000000,00001011000000000000000000000000,
