command,param,dspver,card,effect,comments
0xD1,,1.0+,,Turn speaker on,"The actual effect is apparently to enable the amplifier on the card. When the speaker is off, the audio output might sound like a quiet crackle"
0x40,tc,1.0+,,Set Time Constant,"Time constant determines the playback rate of audio.\nComputed as 256 - 1000000 / frequency."
