major,minor,card,comments
1,5,Sound Blaster 1.5,
2,1,Sound Blaster 2.0,
2,0,Sound Blaster 1.x clone cards,"Some SB1.x clones errantly return version 2.00, meaning that DSP 2.0 features are not available on those cards"
3,0,Sound Blaster Pro,
3,1,Sound Blaster Pro 2,
3,2,Sound Blaster Pro 2,
4,4,Sound Blaster 16,
4,5,Sound Blaster 16,
4,11,Sound Blaster 16 SCSI-2,
4,12,Sound Blaster AWE32,

