makecode,breakcode,key,comments
0xE0 0x5E,0xE0 0xDE,Power,
0xE0 0x5F,0xE0 0xDF,Sleep,
0xE0 0x63,0xE0 0xE3,Wake,
0xE0 0x5B,0xE0 0xDB,Left Windows,
0xE0 0x5C,0xE0 0xDC,Right Windows,
0xE0 0x5D,0xE0 0xDD,Application menu,

