makecode,breakcode,key,comments
0xE0 0x5E,0xE0 0xDE,Power,"Keyboard Scan Code Specification - Recommendations for i8042 keyboards"
0xE0 0x5F,0xE0 0xDF,Sleep,"Keyboard Scan Code Specification - Recommendations for i8042 keyboards"
0xE0 0x63,0xE0 0xE3,Wake,"Keyboard Scan Code Specification - Recommendations for i8042 keyboards"

