makecode,breakcode,key,comments
0x1E,0x9E,A,
0x30,0xB0,B,
0x2E,0xAE,C,
0x20,0xA0,D,
0x12,0x92,E,
0x21,0xA1,F,
0x22,0xA2,G,
0x23,0xA3,H,
0x17,0x97,I,
0x24,0xA4,J,
0x25,0xA5,K,
0x26,0xA6,L,
0x32,0xB2,M,
0x31,0xB1,N,
0x18,0x98,O,
0x19,0x99,P,
0x10,0x90,Q,
0x13,0x93,R,
0x1F,0x9F,S,
0x14,0x94,T,
0x16,0x96,U,
0x2F,0xAF,V,
0x11,0x91,W,
0x2D,0xAD,X,
0x15,0x95,Y,
0x2C,0xAC,Z,
0x0B,0x8B,0,
0x02,0x82,1,
0x03,0x83,2,
0x04,0x84,3,
0x05,0x85,4,
0x06,0x86,5,
0x07,0x87,6,
0x08,0x88,7,
0x09,0x89,8,
0x0A,0x8A,9,
0x29,0xA9,`,
0x0C,0x8C,-,
0x0D,0x8D,=,
0x2B,0xAB,\,
0x0E,0x8E,Backspace,
0x39,0xB9,Space,
0x0F,0x8F,Tab,
0x3A,0xBA,Caps lock,
0x2A,0xAA,Left shift,
0x1D,0x9D,Left control,
0xE0 0x5B,0xE0 DB,Left Windows,
0x38,0xB8,Left alt,
0x36,0xB6,Right shift,
0xE0 0x1D,0xE0 0x9D,Right control,
0xE0 0x5C,0xE0 0xDC,Right Windows,
0xE0 0x38,0xE0 0xB8,Right alt,
0xE0 0x5D,0xE0 0xDD,Application menu,
0x1C,0x9C,Enter,
0x01,0x81,Escape,
0x3B,0xBB,F1,
0x3C,0xBC,F2,
0x3D,0xBD,F3,
0x3E,0xBE,F4,
0x3F,0xBF,F5,
0x40,0xC0,F6,
0x41,0xC1,F7,
0x42,0xC2,F8,
0x43,0xC3,F9,
0x44,0xC4,F10,
0x57,0xD7,F11,
0x58,0xD8,F12,
0xE0 0x2A 0xE0 0x37,0xE0 0xB7 0xE0 0xAA,Print Screen,
0x46,0xC6,Scroll lock,
0xE1 0x1D 0x45 0xE1 0x9D 0xC5,-,Pause,"Pause key does not have a break code. The make code is both make and break"
0x1A,0x9A,[,
0xE0 0x52,0xE0 0xD2,Insert,
0xE0 0x47,0xE0 0xC7,Home,
0xE0 0x49,0xE0 0xC9,Page up,
0xE0 0x53,0xE0 0xD3,Delete,
0xE0 0x4F,0xE0 0xCF,End,
0xE0 0x51,0xE0 0xD1,Page down,
0xE0 0x48,0xE0 0xC8,Up arrow,
0xE0 0x4B,0xE0 0xCB,Left arrow,
0xE0 0x50,0xE0 0xD0,Down arrow,
0xE0 0x4D,0xE0 0xCD,Right arrow,
0x45,0xC5,Num lock,
0xE0 0x35,0xE0 0xB5,Keypad /,
0x37,0xB7,Keypad *,
0x4A,0xCA,Keypad -,
0x4E,0xCE,Keypad +,
0xE0 0x1C,0xE0 0x9C,Keypad Enter,
0x53,0xD3,Keypad .,
0x52,0xD2,Keypad 0,
0x4F,0xCF,Keypad 1,
0x50,0xD0,Keypad 2,
0x51,0xD1,Keypad 3,
0x4B,0xCB,Keypad 4,
0x4C,0xCC,Keypad 5,
0x4D,0xCD,Keypad 6,
0x47,0xC7,Keypad 7,
0x48,0xC8,Keypad 8,
0x49,0xC9,Keypad 9,
0x1B,0x9B,],
0x27,0xA7,;,
0x28,0xA8,',
0x33,0xB3,",",
0x34,0xB4,".",
0x35,0xB5,/,
0xE0 0x5E,0xE0 0xDE,Power,"ACPI key/button"
0xE0 0x5F,0xE0 0xDF,Sleep,"ACPI key/button"
0xE0 0x63,0xE0 0xE3,Wake,"ACPI key/button"
0xE0 0x19,0xE0 0x99,Next track,"Windows multimedia keyboards"
0xE0 0x10,0xE0 0x90,Previous track,"Windows multimedia keyboards"
0xE0 0x24,0xE0 0xA4,Stop,"Windows multimedia keyboards"
0xE0 0x22,0xE0 0xA2,Play/Pause,"Windows multimedia keyboards"
0xE0 0x20,0xE0 0xA0,Mute,"Windows multimedia keyboards"
0xE0 0x30,0xE0 0xB0,Volume Up,"Windows multimedia keyboards"
0xE0 0x2E,0xE0 0xAE,Volume Down,"Windows multimedia keyboards"
0xE0 0x6D,0xE0 0xED,Media Select,"Windows multimedia keyboards"
0xE0 0x6C,0xE0 0xEC,E-Mail,"Windows multimedia keyboards"
0xE0 0x21,0xE0 0xA1,Calculator,"Windows multimedia keyboards"
0xE0 0x6B,0xE0 0xEB,My Computer,"Windows multimedia keyboards"
0xE0 0x65,0xE0 0xE5,WWW Search,"Windows multimedia keyboards"
0xE0 0x32,0xE0 0xB2,WWW Home,"Windows multimedia keyboards"
0xE0 0x6A,0xE0 0xEA,WWW Back,"Windows multimedia keyboards"
0xE0 0x69,0xE0 0xE9,WWW Forward,"Windows multimedia keyboards"
0xE0 0x68,0xE0 0xE8,WWW Stop,"Windows multimedia keyboards"
0xE0 0x67,0xE0 0xE7,WWW Refresh,"Windows multimedia keyboards"
0xE0 0x66,0xE0 0xE6,WWW Favorites,"Windows multimedia keyboards"

