charcode,name,character,comments
0x70,"LATIN SMALL LETTER P","p",
0x71,"LATIN SMALL LETTER Q","q",
0x72,"LATIN SMALL LETTER R","r",
0x73,"LATIN SMALL LETTER S","s",
0x74,"LATIN SMALL LETTER T","t",
0x75,"LATIN SMALL LETTER U","u",
0x76,"LATIN SMALL LETTER V","v",
0x77,"LATIN SMALL LETTER W","w",
0x78,"LATIN SMALL LETTER X","x",
0x79,"LATIN SMALL LETTER Y","y",
0x7a,"LATIN SMALL LETTER Z","z",
0x7b,"LEFT CURLY BRACKET","{",
0x7c,"VERTICAL LINE","|",
0x7d,"RIGHT CURLY BRACKET","}",
0x7e,"TILDE","~",
0x7f,"DELETE","",
0x80,"LATIN CAPITAL LETTER C WITH CEDILLA","Ç",
0x81,"LATIN SMALL LETTER U WITH DIAERESIS","ü",
0x82,"LATIN SMALL LETTER E WITH ACUTE","é",
0x83,"LATIN SMALL LETTER A WITH CIRCUMFLEX","â",
0x84,"LATIN SMALL LETTER A WITH DIAERESIS","ä",
0x85,"LATIN SMALL LETTER A WITH GRAVE","à",
0x86,"LATIN SMALL LETTER A WITH RING ABOVE","å",
0x87,"LATIN SMALL LETTER C WITH CEDILLA","ç",
0x88,"LATIN SMALL LETTER E WITH CIRCUMFLEX","ê",
0x89,"LATIN SMALL LETTER E WITH DIAERESIS","ë",
0x8a,"LATIN SMALL LETTER E WITH GRAVE","è",
0x8b,"LATIN SMALL LETTER I WITH DIAERESIS","ï",
0x8c,"LATIN SMALL LETTER I WITH CIRCUMFLEX","î",
0x8d,"LATIN SMALL LETTER I WITH GRAVE","ì",
0x8e,"LATIN CAPITAL LETTER A WITH DIAERESIS","Ä",
0x8f,"LATIN CAPITAL LETTER A WITH RING ABOVE","Å",
0x90,"LATIN CAPITAL LETTER E WITH ACUTE","É",
0x91,"LATIN SMALL LIGATURE AE","æ",
0x92,"LATIN CAPITAL LIGATURE AE","Æ",
0x93,"LATIN SMALL LETTER O WITH CIRCUMFLEX","ô",
0x94,"LATIN SMALL LETTER O WITH DIAERESIS","ö",
0x95,"LATIN SMALL LETTER O WITH GRAVE","ò",
0x96,"LATIN SMALL LETTER U WITH CIRCUMFLEX","û",
0x97,"LATIN SMALL LETTER U WITH GRAVE","ù",
0x98,"LATIN SMALL LETTER Y WITH DIAERESIS","ÿ",
0x99,"LATIN CAPITAL LETTER O WITH DIAERESIS","Ö",
0x9a,"LATIN CAPITAL LETTER U WITH DIAERESIS","Ü",
0x9b,"LATIN SMALL LETTER O WITH STROKE","ø",
0x9c,"POUND SIGN","£",
0x9d,"LATIN CAPITAL LETTER O WITH STROKE","Ø",
0x9e,"MULTIPLICATION SIGN","×",
0x9f,"LATIN SMALL LETTER F WITH HOOK","ƒ",
0xa0,"LATIN SMALL LETTER A WITH ACUTE","á",
0xa1,"LATIN SMALL LETTER I WITH ACUTE","í",
0xa2,"LATIN SMALL LETTER O WITH ACUTE","ó",
0xa3,"LATIN SMALL LETTER U WITH ACUTE","ú",
0xa4,"LATIN SMALL LETTER N WITH TILDE","ñ",
0xa5,"LATIN CAPITAL LETTER N WITH TILDE","Ñ",
0xa6,"FEMININE ORDINAL INDICATOR","ª",
0xa7,"MASCULINE ORDINAL INDICATOR","º",
0xa8,"INVERTED QUESTION MARK","¿",
0xa9,"REGISTERED SIGN","®",
0xaa,"NOT SIGN","¬",
0xab,"VULGAR FRACTION ONE HALF","½",
0xac,"VULGAR FRACTION ONE QUARTER","¼",
0xad,"INVERTED EXCLAMATION MARK","¡",
0xae,"LEFT-POINTING DOUBLE ANGLE QUOTATION MARK","«",
0xaf,"RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK","»",
0xb0,"LIGHT SHADE","░",
0xb1,"MEDIUM SHADE","▒",
0xb2,"DARK SHADE","▓",
0xb3,"BOX DRAWINGS LIGHT VERTICAL","│",
0xb4,"BOX DRAWINGS LIGHT VERTICAL AND LEFT","┤",
0xb5,"LATIN CAPITAL LETTER A WITH ACUTE","Á",
0xb6,"LATIN CAPITAL LETTER A WITH CIRCUMFLEX","Â",
0xb7,"LATIN CAPITAL LETTER A WITH GRAVE","À",
0xb8,"COPYRIGHT SIGN","©",
0xb9,"BOX DRAWINGS DOUBLE VERTICAL AND LEFT","╣",
0xba,"BOX DRAWINGS DOUBLE VERTICAL","║",
0xbb,"BOX DRAWINGS DOUBLE DOWN AND LEFT","╗",
0xbc,"BOX DRAWINGS DOUBLE UP AND LEFT","╝",
0xbd,"CENT SIGN","¢",
0xbe,"YEN SIGN","¥",
0xbf,"BOX DRAWINGS LIGHT DOWN AND LEFT","┐",
0xc0,"BOX DRAWINGS LIGHT UP AND RIGHT","└",
0xc1,"BOX DRAWINGS LIGHT UP AND HORIZONTAL","┴",
0xc2,"BOX DRAWINGS LIGHT DOWN AND HORIZONTAL","┬",
0xc3,"BOX DRAWINGS LIGHT VERTICAL AND RIGHT","├",
0xc4,"BOX DRAWINGS LIGHT HORIZONTAL","─",
0xc5,"BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL","┼",
0xc6,"LATIN SMALL LETTER A WITH TILDE","ã",
0xc7,"LATIN CAPITAL LETTER A WITH TILDE","Ã",
0xc8,"BOX DRAWINGS DOUBLE UP AND RIGHT","╚",
0xc9,"BOX DRAWINGS DOUBLE DOWN AND RIGHT","╔",
0xca,"BOX DRAWINGS DOUBLE UP AND HORIZONTAL","╩",
0xcb,"BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL","╦",
0xcc,"BOX DRAWINGS DOUBLE VERTICAL AND RIGHT","╠",
0xcd,"BOX DRAWINGS DOUBLE HORIZONTAL","═",
0xce,"BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL","╬",
0xcf,"CURRENCY SIGN","¤",
0xd0,"LATIN SMALL LETTER ETH","ð",
0xd1,"LATIN CAPITAL LETTER ETH","Ð",
0xd2,"LATIN CAPITAL LETTER E WITH CIRCUMFLEX","Ê",
0xd3,"LATIN CAPITAL LETTER E WITH DIAERESIS","Ë",
0xd4,"LATIN CAPITAL LETTER E WITH GRAVE","È",
0xd6,"LATIN CAPITAL LETTER I WITH ACUTE","Í",
0xd7,"LATIN CAPITAL LETTER I WITH CIRCUMFLEX","Î",
0xd8,"LATIN CAPITAL LETTER I WITH DIAERESIS","Ï",
0xd9,"BOX DRAWINGS LIGHT UP AND LEFT","┘",
0xda,"BOX DRAWINGS LIGHT DOWN AND RIGHT","┌",
0xdb,"FULL BLOCK","█",
0xdc,"LOWER HALF BLOCK","▄",
0xdd,"BROKEN BAR","¦",
0xde,"LATIN CAPITAL LETTER I WITH GRAVE","Ì",
0xdf,"UPPER HALF BLOCK","▀",
0xe0,"LATIN CAPITAL LETTER O WITH ACUTE","Ó",
0xe1,"LATIN SMALL LETTER SHARP S","ß",
0xe2,"LATIN CAPITAL LETTER O WITH CIRCUMFLEX","Ô",
0xe3,"LATIN CAPITAL LETTER O WITH GRAVE","Ò",
0xe4,"LATIN SMALL LETTER O WITH TILDE","õ",
0xe5,"LATIN CAPITAL LETTER O WITH TILDE","Õ",
0xe6,"MICRO SIGN","µ",
0xe7,"LATIN SMALL LETTER THORN","þ",
0xe8,"LATIN CAPITAL LETTER THORN","Þ",
0xe9,"LATIN CAPITAL LETTER U WITH ACUTE","Ú",
0xea,"LATIN CAPITAL LETTER U WITH CIRCUMFLEX","Û",
0xeb,"LATIN CAPITAL LETTER U WITH GRAVE","Ù",
0xec,"LATIN SMALL LETTER Y WITH ACUTE","ý",
0xed,"LATIN CAPITAL LETTER Y WITH ACUTE","Ý",
0xee,"MACRON","¯",
0xef,"ACUTE ACCENT","´",
0xf0,"SOFT HYPHEN","­",
0xf1,"PLUS-MINUS SIGN","±",
0xf2,"DOUBLE LOW LINE","‗",
0xf3,"VULGAR FRACTION THREE QUARTERS","¾",
0xf4,"PILCROW SIGN","¶",
0xf5,"SECTION SIGN","§",
0xf6,"DIVISION SIGN","÷",
0xf7,"CEDILLA","¸",
0xf8,"DEGREE SIGN","°",
0xf9,"DIAERESIS","¨",
0xfa,"MIDDLE DOT","·",
0xfb,"SUPERSCRIPT ONE","¹",
0xfc,"SUPERSCRIPT THREE","³",
0xfd,"SUPERSCRIPT TWO","²",
0xfe,"BLACK SQUARE","■",
0xff,"NO-BREAK SPACE"," ",
0xd5,"EURO SIGN","€",
